date,smlo,smme,smhi,bilo,bime,bihi,mkt_exc,rf
19770228,-0.009,-0.012,0.001,-0.0187,-0.015,-0.0192,-0.0193,0.0035
19770331,0.0027,0.0078,0.0021,-0.0164,-0.0062,0.005,-0.013,0.0038
19770429,0.0108,0.0128,0.0254,-0.0111,0.0201,0.0432,0.0012,0.0038
19770531,-0.0072,0.0017,0.0073,-0.0179,-0.0007,-0.0158,-0.0145,0.0037
19770630,0.0746,0.0621,0.0697,0.0566,0.0374,0.0484,0.0474,0.004
19770729,0.0004,0.0005,0.0057,-0.0147,-0.0108,-0.0322,-0.017,0.0042
19770831,0.0074,-0.0082,-0.0152,0.0034,-0.0346,-0.03,-0.0178,0.0044
19770930,0.0162,0.0176,0.0058,-0.007,0.0103,-0.0068,-0.0027,0.0043
19771031,-0.0384,-0.0211,-0.0156,-0.0432,-0.0379,-0.0318,-0.0442,0.0049
19771130,0.0826,0.0737,0.0814,0.0401,0.0383,0.0484,0.0404,0.005
19771230,0.032,0.0148,0.0158,0.0021,0.0087,0.0115,0.0033,0.0049
19780131,-0.0471,-0.0284,-0.0119,-0.0641,-0.0567,-0.0334,-0.0601,0.0049
19780228,0.0157,0.0255,0.0252,-0.0254,0.0037,-0.019,-0.0139,0.0046
19780331,0.0635,0.0671,0.0705,0.0218,0.0359,0.0399,0.0287,0.0053
19780428,0.0993,0.0753,0.072,0.1106,0.0555,0.0687,0.0774,0.0054
19780531,0.072,0.0584,0.0586,0.0194,0.0114,0.0207,0.0181,0.0051
19780630,-0.0094,0.0113,0.0037,-0.0139,-0.0158,-0.0155,-0.0162,0.0054
19780731,0.0697,0.0507,0.0577,0.069,0.0412,0.0591,0.0511,0.0056
19780831,0.0827,0.0819,0.0882,0.0355,0.0441,0.0205,0.0369,0.0055
19780929,-0.0186,-0.004,-0.0063,-0.0257,0.0098,-0.0005,-0.0131,0.0062
19781031,-0.2311,-0.1845,-0.1872,-0.0991,-0.0909,-0.1157,-0.1178,0.0068
19781130,0.0887,0.0504,0.044,0.0296,0.0326,0.0301,0.0268,0.007
19781229,0.0303,0.0196,0.0193,0.0288,0.007,-0.0039,0.0099,0.0078
19790131,0.0857,0.0792,0.0962,0.0325,0.0508,0.0669,0.0418,0.0077
19790228,-0.0344,-0.0224,-0.019,-0.0371,-0.0236,-0.0289,-0.0341,0.0073
19790330,0.1163,0.0842,0.085,0.0573,0.0569,0.0755,0.0575,0.0081
19790430,0.0166,0.0297,0.0331,0.0018,0.0061,0.0068,0.0005,0.008
19790531,-0.0264,-0.0078,0.001,-0.0183,-0.0127,-0.013,-0.0218,0.0082
19790629,0.0571,0.0602,0.0602,0.031,0.0554,0.0565,0.0388,0.0081
19790731,0.0203,0.0404,0.031,0.006,0.0176,0.03,0.0073,0.0077
19790831,0.0903,0.0738,0.0736,0.0675,0.0544,0.0537,0.057,0.0077
19790928,0.0076,-0.011,-0.0107,-0.008,0.0096,-0.0077,-0.0069,0.0083
19791031,-0.0924,-0.1058,-0.1133,-0.0667,-0.0618,-0.0831,-0.0814,0.0087
19791130,0.1092,0.0683,0.0682,0.0657,0.0572,0.041,0.0537,0.0099
19791231,0.0814,0.0521,0.0515,0.0296,0.0109,0.0195,0.0187,0.0095
19800131,0.0788,0.0777,0.0843,0.0486,0.0636,0.0792,0.0576,0.008
19800229,-0.0041,-0.0292,-0.027,-0.0309,0.0206,0.0044,-0.0079,0.0089
19800331,-0.1931,-0.1605,-0.1732,-0.0895,-0.1075,-0.1305,-0.1323,0.0121
19800430,0.0612,0.0642,0.0588,0.0375,0.0564,0.0611,0.0397,0.0126
19800530,0.0808,0.0791,0.0806,0.0569,0.0546,0.0645,0.052,0.0081
19800630,0.0532,0.0438,0.0431,0.0316,0.0347,0.0237,0.0316,0.0061
19800731,0.1331,0.0958,0.0725,0.0935,0.0526,0.028,0.0641,0.0053
19800829,0.0847,0.0497,0.0358,0.022,0.014,0.0177,0.0172,0.0064
19800930,0.0525,0.0294,0.0088,0.0417,0.0325,-0.0091,0.022,0.0075
19801031,0.0582,0.0237,0.0302,0.0183,0.0287,-0.0096,0.0106,0.0095
19801128,0.1261,0.0442,0.025,0.1162,0.1347,0.0485,0.0954,0.0096
19801231,-0.0531,-0.0181,-0.013,-0.0218,-0.0471,-0.0074,-0.0475,0.0131
19810130,-0.0377,0.008,0.0226,-0.0599,-0.054,0.0164,-0.0505,0.0104
19810227,-0.0069,0.0238,0.0286,0.028,0.0128,0.0138,0.0048,0.0107
19810331,0.0768,0.0802,0.0765,0.0379,0.0359,0.0529,0.0341,0.0121
19810430,0.0255,0.0353,0.0394,-0.0216,-0.0217,0.0108,-0.0221,0.0108
19810529,0.0492,0.0295,0.0174,0.0084,-0.005,0.0315,0.0021,0.0115
19810630,-0.0573,0.0075,0.0128,-0.0324,0.0211,-0.0002,-0.0237,0.0135
19810731,-0.0285,-0.0239,-0.0159,0.0134,-0.0059,-0.0105,-0.0155,0.0124
19810831,-0.1,-0.0592,-0.0471,-0.0682,-0.055,-0.0245,-0.0691,0.0128
19810930,-0.1027,-0.065,-0.0489,-0.0632,-0.0598,-0.0135,-0.0762,0.0124
19811030,0.1052,0.0668,0.0579,0.0811,0.0396,0.044,0.0481,0.0121
19811130,0.0095,0.049,0.0465,0.0411,0.0507,0.0414,0.0351,0.0107
19811231,-0.0231,-0.0094,-0.0149,-0.0313,-0.027,-0.025,-0.0368,0.0087
19820129,-0.0469,-0.0332,-0.0085,-0.0187,-0.0368,0.0043,-0.0342,0.008
19820226,-0.0747,-0.0306,-0.008,-0.0736,-0.0336,-0.0195,-0.0603,0.0092
19820331,-0.0212,-0.0046,0.0156,-0.0196,-0.0052,0.0193,-0.0199,0.0098
19820430,0.0656,0.0567,0.0416,0.0578,0.0349,0.0258,0.032,0.0113
19820528,-0.0358,-0.0228,-0.0094,-0.0346,-0.0228,-0.0245,-0.0388,0.0106
19820630,-0.0354,-0.0166,-0.0129,-0.0248,-0.0119,-0.0167,-0.0335,0.0096
19820730,-0.0241,-0.0054,-0.0097,-0.0065,-0.0421,-0.0169,-0.031,0.0105
19820831,0.0811,0.0894,0.0814,0.11,0.1322,0.1333,0.1114,0.0076
19820930,0.0266,0.0477,0.0522,0.0193,0.0203,0.0002,0.0117,0.0051
19821029,0.1592,0.1325,0.116,0.1278,0.1119,0.097,0.1127,0.0059
19821130,0.1005,0.0841,0.0931,0.071,0.0233,0.0395,0.0456,0.0063
19821231,0.013,0.0118,0.0087,0.0115,0.0114,0.0161,0.0078,0.0067
19830131,0.0972,0.0546,0.0489,0.028,0.0329,0.0588,0.035,0.0069
19830228,0.0429,0.0658,0.071,0.0365,0.024,0.0221,0.024,0.0062
19830331,0.0265,0.0635,0.0626,0.0247,0.0445,0.03,0.0284,0.0063
19830429,0.0783,0.0799,0.0757,0.0569,0.0905,0.0711,0.0671,0.0071
19830531,0.0795,0.0538,0.0506,-0.0015,0.0015,-0.0007,0.0063,0.0069
19830630,0.0562,0.0441,0.0237,0.0527,0.0366,0.0077,0.0311,0.0067
19830729,-0.0581,-0.0001,0.0125,-0.052,-0.0269,-0.0112,-0.039,0.0074
19830831,-0.048,-0.0284,-0.0033,-0.0134,0.0091,0.0529,-0.0041,0.0076
19830930,0.001,0.0255,0.0404,0.0258,0.0154,0.0081,0.0085,0.0076
19831031,-0.0902,-0.0437,-0.0221,-0.0357,-0.0085,-0.0039,-0.0356,0.0076
19831130,0.0475,0.0429,0.0435,0.0281,0.0249,0.0191,0.0226,0.007
19831230,-0.0317,-0.004,0.0025,-0.0069,-0.0106,-0.0073,-0.0178,0.0073
19840131,-0.0422,-0.0032,0.0212,-0.0531,0.0057,0.0357,-0.0206,0.0076
19840229,-0.0698,-0.0504,-0.0355,-0.0476,-0.0418,-0.0156,-0.0462,0.0071
19840330,0.0019,0.0134,0.0229,0.0156,0.0158,0.0046,0.0061,0.0073
19840430,-0.0123,0.0011,-0.0002,0.0046,0.002,0.0173,-0.0056,0.0081
19840531,-0.0595,-0.048,-0.044,-0.0481,-0.0459,-0.059,-0.0601,0.0078
19840629,0.0458,0.0218,0.0108,0.044,0.0158,0.0264,0.0159,0.0075
19840731,-0.0555,-0.0297,-0.033,-0.0098,-0.0177,-0.0243,-0.0288,0.0082
19840831,0.1343,0.1034,0.0944,0.1128,0.1117,0.1151,0.1044,0.0083
19840928,-0.0272,0.0143,0.0236,-0.024,-0.0036,0.0317,-0.0082,0.0086
19841031,-0.0219,-0.0034,0.0023,0.0077,0.0084,-0.0049,-0.0101,0.01
19841130,-0.0454,-0.003,0.0035,-0.0223,-0.0129,0.0093,-0.018,0.0073
19841231,0.0203,0.0168,0.0222,0.0266,0.0273,0.0224,0.0173,0.0064
19850131,0.1499,0.0999,0.0869,0.1012,0.0814,0.0564,0.0792,0.0065
19850228,0.0299,0.0284,0.0172,0.013,0.0164,0.0224,0.0111,0.0058
19850329,-0.0322,-0.0124,0.0141,-0.0127,-0.0064,0.0218,-0.0079,0.0062
19850430,-0.0201,0.0012,0.0172,-0.0186,-0.0077,0.019,-0.0094,0.0072
19850531,0.0424,0.0407,0.0325,0.0598,0.0713,0.0524,0.0492,0.0066
19850628,0.014,0.0254,0.0245,0.0154,0.0184,0.0147,0.0116,0.0055
19850731,0.0277,0.0247,0.0112,0.0021,-0.0092,-0.0146,-0.0065,0.0062
19850830,-0.0197,-0.0002,0.0016,-0.0153,-0.0007,0.0081,-0.0103,0.0055
19850930,-0.0726,-0.0421,-0.0426,-0.0387,-0.0271,-0.0437,-0.0458,0.006
19851031,0.0323,0.0372,0.0319,0.04,0.0538,0.055,0.0379,0.0065
19851129,0.0784,0.0695,0.0632,0.0907,0.0661,0.0475,0.0631,0.0061
19851231,0.0504,0.0405,0.0334,0.0577,0.0363,0.0441,0.0366,0.0065
19860131,0.0227,0.0153,0.0254,0.0077,0.0045,0.0155,0.0042,0.0056
19860228,0.0733,0.0719,0.0692,0.08,0.0827,0.0689,0.0672,0.0053
19860331,0.043,0.0539,0.052,0.0624,0.0579,0.0435,0.0479,0.006
19860430,0.0237,0.0113,0.0044,0.0056,-0.018,-0.0332,-0.0131,0.0052
19860530,0.0335,0.0528,0.035,0.0545,0.0551,0.0508,0.0459,0.0049
19860630,-0.0008,0.0094,0.0197,0.0184,0.0115,0.0259,0.009,0.0052
19860731,-0.1071,-0.088,-0.0576,-0.0717,-0.0522,-0.0267,-0.0649,0.0052
19860829,0.0214,0.0357,0.0444,0.0478,0.0849,0.0945,0.0616,0.0046
19860930,-0.0824,-0.0477,-0.0479,-0.1006,-0.0744,-0.0714,-0.0835,0.0045
19861031,0.0436,0.0279,0.016,0.056,0.0538,0.0549,0.0447,0.0046
19861128,0.0004,-0.0059,0.0038,0.0199,0.0225,0.015,0.0112,0.0039
19861231,-0.0317,-0.0288,-0.0208,-0.0244,-0.0299,-0.0294,-0.0313,0.0049
19870130,0.1257,0.1112,0.0905,0.1387,0.1325,0.1095,0.1243,0.0042
19870227,0.0956,0.0675,0.0516,0.0748,0.0347,0.0006,0.0436,0.0043
19870331,0.0134,0.0262,0.0359,0.0166,0.0231,0.0249,0.019,0.0047
19870430,-0.0269,-0.0303,-0.0354,-0.0182,-0.0093,-0.0149,-0.0214,0.0044
19870529,-0.003,0.0001,0.0066,0.0149,-0.0019,0.0076,0.0013,0.0038
19870630,0.0146,0.0326,0.0351,0.0464,0.0544,0.0468,0.0389,0.0048
19870731,0.0219,0.0326,0.0545,0.0558,0.0351,0.0374,0.0396,0.0046
19870831,0.0284,0.038,0.0289,0.0467,0.0433,0.0278,0.0324,0.0047
19870930,-0.0257,-0.01,-0.0137,-0.0193,-0.0233,-0.0254,-0.0253,0.0045
19871030,-0.3232,-0.279,-0.2771,-0.2319,-0.2025,-0.1937,-0.2314,0.006
19871130,-0.0699,-0.0402,-0.035,-0.0876,-0.0779,-0.0579,-0.0758,0.0035
19871231,0.0924,0.0703,0.0467,0.0917,0.0639,0.0488,0.0664,0.0039
19880129,0.0224,0.0491,0.0658,0.0206,0.056,0.0803,0.042,0.0029
19880229,0.0842,0.0795,0.071,0.0543,0.0458,0.0345,0.0471,0.0046
19880331,0.0369,0.0391,0.0336,-0.0309,-0.0315,-0.0124,-0.021,0.0044
19880429,0.0136,0.0193,0.0253,-0.0066,0.0206,0.0154,0.0064,0.0046
19880531,-0.0292,-0.018,-0.0048,0.0001,0.0062,0.0213,-0.0047,0.0051
19880630,0.0761,0.0692,0.062,0.0478,0.0565,0.0397,0.0466,0.0049
19880729,-0.0243,-0.001,0.0034,-0.0154,-0.0031,0.0022,-0.0124,0.0051
19880831,-0.0403,-0.0173,-0.0142,-0.0289,-0.0315,-0.0137,-0.0339,0.0059
19880930,0.0269,0.0297,0.0275,0.0507,0.035,0.0362,0.031,0.0062
19881031,-0.0202,-0.0006,0.0059,0.0226,0.0194,0.0302,0.0115,0.0061
19881130,-0.0386,-0.0258,-0.0263,-0.0169,-0.0185,-0.0035,-0.0221,0.0057
19881230,0.0407,0.0385,0.03,0.0278,0.016,0.0075,0.0148,0.0063
19890131,0.0437,0.0447,0.0544,0.0706,0.0657,0.0704,0.0606,0.0055
19890228,0.0048,0.0074,0.0126,-0.0233,-0.0207,-0.0135,-0.0225,0.0061
19890331,0.0254,0.0299,0.0339,0.0251,0.0166,0.026,0.0148,0.0067
19890428,0.0485,0.0438,0.0387,0.0599,0.0478,0.0403,0.0415,0.0067
19890531,0.0469,0.0372,0.0381,0.0482,0.0356,0.0397,0.0314,0.0079
19890630,-0.0304,-0.0082,-0.0009,-0.0097,-0.0033,0.0039,-0.012,0.0071
19890731,0.0445,0.0413,0.0343,0.108,0.0714,0.061,0.0701,0.007
19890831,0.0271,0.0286,0.0258,0.0109,0.0284,0.0263,0.0147,0.0074
19890929,0.0147,0.0012,-0.0084,0.0052,-0.0084,0.0008,-0.008,0.0065
19891031,-0.0499,-0.0576,-0.0642,-0.0138,-0.0395,-0.0211,-0.0361,0.0068
19891130,0.0078,0.0077,-0.0014,0.0241,0.0163,0.0106,0.0109,0.0069
19891229,0.0018,-0.0042,-0.0023,0.0171,0.0239,0.0255,0.0122,0.0061
19900131,-0.0919,-0.0764,-0.0791,-0.0752,-0.0636,-0.0709,-0.0758,0.0057
19900228,0.0326,0.0263,0.0229,0.0032,0.0219,0.0254,0.0092,0.0057
19900330,0.0432,0.0381,0.0226,0.0413,0.0141,0.0048,0.0177,0.0064
19900430,-0.0289,-0.0307,-0.0438,-0.0089,-0.0349,-0.045,-0.0352,0.0069
19900531,0.0848,0.0638,0.0432,0.1084,0.0861,0.0747,0.0821,0.0068
19900629,0.012,0.0041,0.0006,0.0131,-0.0241,-0.0156,-0.0105,0.0063
19900731,-0.0446,-0.0375,-0.0423,-0.0129,-0.0005,-0.0156,-0.0162,0.0068
19900831,-0.1478,-0.1222,-0.1135,-0.097,-0.0796,-0.0993,-0.0985,0.0066
19900928,-0.1031,-0.083,-0.082,-0.0573,-0.0375,-0.0637,-0.0598,0.006
19901031,-0.0595,-0.0559,-0.0589,0.0038,-0.0196,0.0078,-0.0193,0.0068
19901130,0.0891,0.065,0.0498,0.0737,0.0683,0.0519,0.06,0.0057
19901231,0.0419,0.0348,0.0285,0.0374,0.0242,0.0195,0.0235,0.006
19910131,0.0929,0.0836,0.0768,0.0632,0.0327,0.0431,0.0439,0.0052
19910228,0.1168,0.1026,0.1125,0.0783,0.0653,0.071,0.071,0.0048
19910328,0.0779,0.0526,0.066,0.0404,0.0112,0.0277,0.0245,0.0044
19910430,-0.0071,0.0149,0.0162,-0.0027,0.008,0.0031,-0.002,0.0053
19910531,0.0426,0.0488,0.0262,0.0467,0.0291,0.0522,0.036,0.0047
19910628,-0.0528,-0.0322,-0.0411,-0.0487,-0.043,-0.0368,-0.0482,0.0042
19910731,0.0422,0.0346,0.0298,0.0544,0.0403,0.0411,0.0419,0.0049
19910830,0.0443,0.0314,0.0432,0.0337,0.018,0.0188,0.0222,0.0046
19910930,0.0122,0.007,-0.0105,-0.0217,0.0002,-0.019,-0.0156,0.0046
19911031,0.0311,0.0262,0.0192,0.0152,0.0166,0.0177,0.0136,0.0042
19911129,-0.048,-0.0378,-0.0554,-0.025,-0.0452,-0.0562,-0.0412,0.0039
19911231,0.1018,0.0677,0.0751,0.1447,0.0768,0.0904,0.103,0.0038
19920131,0.0764,0.0749,0.1045,-0.0228,-0.015,0.0396,-0.0046,0.0034
19920228,0.0077,0.0286,0.0702,0.0037,0.0077,0.0687,0.0106,0.0028
19920331,-0.0636,-0.0128,-0.0066,-0.0278,-0.0128,-0.0112,-0.0271,0.0034
19920430,-0.0556,-0.024,-0.01,0.0013,0.0496,0.0423,0.0102,0.0032
19920529,-0.0065,0.0092,0.0253,0.0092,0.0047,0.0024,0.0036,0.0028
19920630,-0.0617,-0.0327,-0.027,-0.0247,-0.0116,0.0084,-0.0225,0.0032
19920731,0.0262,0.0334,0.0378,0.0432,0.0464,0.0209,0.0368,0.0031
19920831,-0.0433,-0.0153,-0.0265,-0.011,-0.0215,-0.0489,-0.0234,0.0026
19920930,0.0147,0.0246,0.0143,0.0167,0.0087,0.0122,0.0098,0.0026
19921030,0.0437,0.0256,0.0168,0.024,-0.0093,0.0092,0.0087,0.0023
19921130,0.0963,0.0645,0.067,0.0458,0.0256,0.0456,0.0379,0.0023
19921231,0.026,0.0361,0.0494,0.007,0.0214,0.0341,0.015,0.0028
19930129,0.013,0.0406,0.0658,-0.011,0.0149,0.0539,0.0103,0.0023
19930226,-0.0638,-0.0013,0.0109,-0.0235,0.0411,0.0308,0.0032,0.0022
19930331,0.0208,0.0259,0.0361,0.0176,0.031,0.0272,0.0226,0.0025
19930430,-0.0377,-0.0253,-0.0259,-0.0504,-0.0087,-0.0094,-0.0278,0.0024
19930528,0.0666,0.0324,0.0309,0.0401,0.0236,0.0073,0.0274,0.0022
19930630,0.0072,0.005,0.0151,-0.0103,0.012,0.0343,0.0029,0.0025
19930730,-0.0036,0.0146,0.0227,-0.0225,0.0114,0.0164,-0.0032,0.0024
19930831,0.0399,0.0469,0.0331,0.0363,0.0409,0.0337,0.037,0.0025
19930930,0.0325,0.0232,0.0258,-0.007,0.0047,-0.0099,-0.002,0.0026
19931029,0.0389,0.0168,0.0264,0.0298,-0.0018,0.011,0.0159,0.0022
19931130,-0.0328,-0.027,-0.024,-0.0005,-0.0264,-0.0144,-0.0201,0.0025
19931231,0.0259,0.0389,0.0276,0.014,0.0177,0.0239,0.0172,0.0023
19940131,0.0192,0.029,0.0509,0.0198,0.0451,0.0303,0.029,0.0025
19940228,-0.009,0.0083,-0.0091,-0.0165,-0.0303,-0.0447,-0.0263,0.0021
19940331,-0.0621,-0.0482,-0.043,-0.0472,-0.0379,-0.0395,-0.0485,0.0027
19940429,-0.008,0.0065,0.0137,0.0035,0.0201,0.0157,0.0068,0.0027
19940531,-0.0255,-0.0104,0.0006,0.015,0.0176,-0.0075,0.0062,0.0032
19940630,-0.0474,-0.0208,-0.0213,-0.0303,-0.0213,-0.0232,-0.031,0.0031
19940729,0.0143,0.0153,0.023,0.0308,0.033,0.0419,0.0278,0.0028
19940831,0.0748,0.0425,0.0398,0.059,0.0303,0.0245,0.0389,0.0037
19940930,0.0057,-0.0016,-0.0046,-0.0114,-0.0325,-0.0372,-0.0221,0.0037
19941031,0.0058,-0.0008,-0.0203,0.0235,0.0252,0.0023,0.0107,0.0038
19941130,-0.0372,-0.0345,-0.0373,-0.0293,-0.0448,-0.0302,-0.0409,0.0037
19941230,0.006,0.0211,0.0131,0.014,0.0122,0.0126,0.0082,0.0044
19950131,-0.0115,-0.0013,0.0096,0.0221,0.0291,0.0342,0.0162,0.0042
19950228,0.036,0.0326,0.0434,0.0402,0.0414,0.0404,0.0356,0.004
19950331,0.0271,0.0202,0.0095,0.0299,0.0318,0.0062,0.0224,0.0046
19950428,0.0116,0.0305,0.0319,0.0209,0.0307,0.0347,0.0206,0.0044
19950531,0.0085,0.0197,0.0291,0.0355,0.036,0.0523,0.0286,0.0054
19950630,0.072,0.0497,0.0393,0.0392,0.0172,0.0124,0.0265,0.0047
19950731,0.0784,0.0478,0.0476,0.04,0.0407,0.0265,0.0363,0.0045
19950831,0.0219,0.0293,0.039,0.001,0.0116,0.0225,0.0046,0.0047
19950929,0.0245,0.018,0.0157,0.0485,0.033,0.0388,0.0321,0.0043
19951031,-0.0583,-0.0497,-0.0367,0.0048,-0.0126,-0.0188,-0.016,0.0047
19951130,0.0357,0.0332,0.0404,0.0395,0.0526,0.0414,0.0385,0.0042
19951229,0.0186,0.0259,0.0219,0.0028,0.0248,0.0273,0.0103,0.0049
19960131,0.0002,0.0034,0.011,0.0302,0.0315,0.0277,0.0238,0.0043
19960229,0.0472,0.0258,0.0228,0.0199,0.0166,-0.0021,0.0124,0.0039
19960329,0.021,0.0276,0.0283,0.002,0.0155,0.0204,0.007,0.0039
19960430,0.088,0.047,0.0437,0.0282,0.0123,-0.0085,0.0209,0.0046
19960531,0.0609,0.0437,0.0542,0.038,0.0091,0.0166,0.0226,0.0042
19960628,-0.0634,-0.0237,-0.0243,0.0002,-0.0017,0.0002,-0.0123,0.004
19960731,-0.1379,-0.0608,-0.0535,-0.0555,-0.0371,-0.0523,-0.0583,0.0045
19960830,0.0709,0.0461,0.0454,0.0205,0.0385,0.0346,0.0284,0.0041
19960930,0.052,0.0272,0.0282,0.0683,0.047,0.0166,0.0486,0.0044
19961031,-0.0513,-0.0005,0.0113,0.0067,0.0357,0.0406,0.0095,0.0042
19961129,0.0184,0.0465,0.037,0.0725,0.0794,0.0577,0.0615,0.0041
19961231,0.0068,0.0268,0.0183,-0.0171,-0.0141,-0.0091,-0.016,0.0046
19970131,0.0422,0.0284,0.0316,0.0662,0.052,0.0301,0.049,0.0045
19970228,-0.0616,-0.0027,0.0123,0.0001,0.0045,0.0209,-0.005,0.0039
19970331,-0.0844,-0.0325,-0.0179,-0.055,-0.0261,-0.044,-0.0492,0.0043
19970430,-0.0319,0.0065,-0.0009,0.0672,0.045,0.0165,0.0381,0.0043
19970530,0.1556,0.098,0.0784,0.0701,0.0585,0.0592,0.0667,0.0049
19970630,0.0375,0.0575,0.0652,0.0417,0.0466,0.0279,0.0404,0.0037
19970731,0.0488,0.0549,0.0551,0.0775,0.0902,0.0643,0.0722,0.0043
19970829,0.0387,0.0327,0.032,-0.0577,-0.0336,-0.0295,-0.0404,0.0041
19970930,0.0887,0.0791,0.0789,0.0507,0.0598,0.0568,0.0541,0.0044
19971031,-0.0587,-0.0347,-0.0229,-0.0351,-0.0304,-0.0269,-0.0386,0.0042
19971128,-0.0319,-0.0084,0.0039,0.0485,0.0342,0.0331,0.0265,0.0039
19971231,-0.0213,0.011,0.0219,0.0101,0.0295,0.0423,0.013,0.0048
19980130,-0.0043,-0.0151,-0.0075,0.0299,-0.0221,-0.0026,0.0002,0.0043
19980227,0.0832,0.0715,0.0722,0.0722,0.0783,0.0687,0.0694,0.0039
19980331,0.0454,0.0454,0.0483,0.046,0.0515,0.0768,0.0474,0.0039
19980430,0.0078,0.0147,0.0225,0.0118,0.016,0.004,0.0066,0.0043
19980529,-0.0733,-0.0466,-0.0254,-0.0258,-0.0233,0.0103,-0.0297,0.004
19980630,0.0069,-0.0088,0.0032,0.0589,0.0159,0.0253,0.0278,0.0041
19980731,-0.0769,-0.0787,-0.0668,-0.0048,-0.0319,-0.038,-0.0274,0.004
19980831,-0.2436,-0.1885,-0.1712,-0.1461,-0.1731,-0.1127,-0.1621,0.0043
19980930,0.0873,0.0555,0.029,0.0772,0.0397,0.0586,0.0592,0.0046
19981030,0.0485,0.0358,0.0297,0.083,0.0793,0.0472,0.0712,0.0032
19981130,0.0912,0.0541,0.0561,0.0709,0.0567,0.0388,0.0589,0.0031
19981231,0.0666,0.0336,0.0275,0.087,0.0183,0.0316,0.0593,0.0038
19990129,0.0482,0.0128,0.0049,0.0569,-0.0066,-0.0107,0.035,0.0035
19990226,-0.0923,-0.0697,-0.0808,-0.0426,-0.0126,-0.022,-0.0416,0.0035
19990331,0.0006,0.0019,-0.0278,0.042,0.0358,0.0119,0.0336,0.0043
19990430,0.1014,0.0983,0.0873,0.017,0.0953,0.0799,0.0454,0.0037
19990528,0.0143,0.0156,0.0446,-0.0255,-0.0082,-0.0017,-0.0241,0.0034
19990630,0.0648,0.0611,0.0606,0.0683,0.0262,-0.0113,0.0468,0.004
19990730,-0.0123,-0.0087,-0.0055,-0.0313,-0.0346,-0.0281,-0.0345,0.0038
19990831,-0.0298,-0.031,-0.0288,-0.0025,-0.0255,-0.022,-0.0139,0.0039
19990930,0.0067,-0.0079,-0.0257,-0.0196,-0.0556,-0.047,-0.0267,0.0039
19991029,0.0106,-0.0062,-0.0308,0.0707,0.0573,0.0481,0.0582,0.0039
19991130,0.1305,0.063,0.0338,0.0415,-0.0253,-0.0207,0.0332,0.0036
19991231,0.1812,0.0851,0.0588,0.0785,0.019,0.0175,0.0794,0.0044
20000131,0.0059,-0.0022,0.0027,-0.0476,-0.0369,-0.04,-0.0437,0.0041
20000229,0.2816,0.1562,0.1155,0.0123,-0.0451,-0.0738,0.0275,0.0043
20000331,-0.1338,-0.0381,-0.0105,0.087,0.106,0.1163,0.0488,0.0047
20000428,-0.1417,-0.0552,-0.0452,-0.0429,-0.0113,0.0429,-0.0641,0.0046
20000531,-0.0806,-0.0551,-0.0371,-0.0342,0.01,-0.0037,-0.044,0.005
20000630,0.175,0.0922,0.0797,0.0503,-0.059,-0.0552,0.0476,0.004
20000731,-0.0722,0.0143,0.023,-0.0298,0.0338,0.045,-0.0219,0.0048
20000831,0.0855,0.0564,0.064,0.0756,0.084,0.0723,0.0709,0.005
20000929,-0.0706,-0.0014,-0.0101,-0.0621,0.0197,0.0147,-0.0562,0.0051
20001031,-0.0818,-0.0113,-0.0186,-0.0219,0.0095,0.0102,-0.0302,0.0056
20001130,-0.1621,-0.0432,-0.0248,-0.1091,-0.0298,0.0015,-0.1076,0.0051
20001229,0.0275,0.0949,0.0816,-0.0028,0.0927,0.0661,0.0154,0.005
20010131,0.1253,0.0517,0.0649,0.0378,0.0099,-0.016,0.0341,0.0054
20010228,-0.1226,-0.0044,0.0045,-0.1167,-0.0046,0.0331,-0.1032,0.0039
20010330,-0.0733,-0.0146,-0.0115,-0.0818,-0.0174,-0.0164,-0.0747,0.0044
20010430,0.1014,0.0496,0.0515,0.0894,0.0527,0.0527,0.0799,0.0039
20010531,0.041,0.0451,0.0639,0.004,0.0199,0.0363,0.0074,0.0032
20010629,0.0652,0.0503,0.0202,-0.019,-0.0189,-0.018,-0.0203,0.0028
20010731,-0.0951,-0.0406,-0.0101,-0.0168,-0.0131,0.0109,-0.0213,0.003
20010831,-0.0767,-0.0235,-0.0119,-0.0698,-0.0396,-0.0667,-0.0621,0.0031
20010928,-0.1725,-0.1298,-0.1436,-0.0831,-0.0887,-0.0759,-0.0943,0.0028
20011031,0.1116,0.051,0.0436,0.0331,0.007,-0.0401,0.0256,0.0022
20011130,0.0925,0.0718,0.089,0.0828,0.0591,0.1001,0.0771,0.0017
20011231,0.0669,0.0684,0.0698,0.0076,0.0311,0.0135,0.0164,0.0015
20020131,-0.0516,0.0112,0.0268,-0.0087,-0.0192,-0.0182,-0.0174,0.0014
20020228,-0.0817,-0.0132,-0.0039,-0.0261,0.0015,-0.0255,-0.023,0.0013
20020328,0.0902,0.0752,0.1004,0.0363,0.0509,0.0491,0.0434,0.0013
20020430,-0.0357,0.0273,0.0394,-0.0694,-0.0143,-0.0605,-0.0511,0.0015
20020531,-0.0651,-0.0368,-0.0251,-0.0136,0.0012,-0.0027,-0.0119,0.0014
20020628,-0.076,-0.028,-0.0244,-0.0734,-0.0653,-0.0941,-0.0716,0.0013
